,mean,sd,hdi_3%,hdi_97%
beta_31[tox21-shh-3t3-gli3-agonist-p1],-0.455,0.039,-0.534,-0.387
beta_31[tox21-ppard-bla-agonist-p1],-0.445,0.04,-0.522,-0.371
beta_31[tox21-ar-mda-kb2-luc-agonist-p3],-0.467,0.045,-0.551,-0.394
beta_31[tox21-er-bla-antagonist-p1],-0.453,0.038,-0.53,-0.385
beta_31[tox21-p53-bla-p1],-0.447,0.041,-0.53,-0.372
beta_31[tox21-car-agonist-p1],-0.455,0.041,-0.54,-0.393
beta_31[tox21-erb-bla-antagonist-p1],-0.458,0.04,-0.54,-0.389
beta_31[tox21-ar-mda-kb2-luc-antagonist-p1],-0.454,0.038,-0.534,-0.394
beta_31[tox21-pparg-bla-antagonist-p1],-0.457,0.04,-0.544,-0.396
beta_31[tox21-ap1-agonist-p1],-0.45,0.039,-0.529,-0.38
beta_31[tox21-hre-bla-agonist-p1],-0.443,0.041,-0.533,-0.372
beta_31[tox21-pgc-err-p1],-0.46,0.041,-0.541,-0.386
beta_31[tox21-nfkb-bla-agonist-p1],-0.445,0.038,-0.527,-0.385
beta_31[tox21-pr-bla-agonist-p1],-0.446,0.037,-0.525,-0.381
beta_31[tox21-ar-mda-kb2-luc-antagonist-p2],-0.447,0.041,-0.527,-0.368
beta_31[tox21-fxr-bla-agonist-p2],-0.456,0.042,-0.538,-0.382
beta_31[tox21-mitotox-p1],-0.451,0.04,-0.528,-0.38
beta_31[tox21-ror-cho-antagonist-p1],-0.448,0.038,-0.525,-0.38
beta_31[tox21-gh3-tre-antagonist-p1],-0.464,0.044,-0.547,-0.392
beta_31[tox21-vdr-bla-agonist-p1],-0.448,0.039,-0.526,-0.378
beta_31[tox21-sbe-bla-antagonist-p1],-0.453,0.04,-0.537,-0.383
beta_31[tox21-aromatase-p1],-0.454,0.038,-0.525,-0.386
beta_31[tox21-h2ax-cho-p2],-0.454,0.039,-0.528,-0.384
beta_31[tox21-erb-bla-p1],-0.453,0.041,-0.539,-0.384
beta_31[tox21-shh-3t3-gli3-antagonist-p1],-0.458,0.043,-0.533,-0.373
beta_31[tox21-rxr-bla-agonist-p1],-0.455,0.04,-0.532,-0.384
beta_31[tox21-pr-bla-antagonist-p1],-0.448,0.039,-0.523,-0.374
beta_31[tox21-ahr-p1],-0.453,0.04,-0.53,-0.384
beta_31[tox21-rt-viability-hepg2-p1],-0.453,0.04,-0.531,-0.383
beta_31[tox21-er-luc-bg1-4e2-antagonist-p2],-0.457,0.04,-0.536,-0.391
beta_31[tox21-esre-bla-p1],-0.444,0.04,-0.524,-0.375
beta_31[tox21-err-p1],-0.462,0.042,-0.544,-0.39
beta_31[tox21-hse-bla-p1],-0.454,0.04,-0.541,-0.389
beta_31[tox21-vdr-bla-antagonist-p1],-0.451,0.038,-0.524,-0.379
beta_31[tox21-sbe-bla-agonist-p1],-0.442,0.041,-0.525,-0.372
beta_31[tox21-fxr-bla-antagonist-p1],-0.447,0.041,-0.53,-0.375
beta_31[tox21-hdac-p1],-0.447,0.041,-0.524,-0.373
beta_31[tox21-er-luc-bg1-4e2-agonist-p4],-0.46,0.04,-0.54,-0.391
beta_31[tox21-car-antagonist-p1],-0.45,0.039,-0.524,-0.379
beta_31[tox21-are-bla-p1],-0.456,0.041,-0.546,-0.391
beta_31[tox21-dt40-p1_657],-0.461,0.042,-0.544,-0.388
beta_31[tox21-rar-antagonist-p2],-0.457,0.04,-0.529,-0.382
beta_31[tox21-dt40-p1_100],-0.455,0.04,-0.536,-0.388
beta_31[tox21-dt40-p1_653],-0.458,0.042,-0.537,-0.389
beta_31[tox21-gr-hela-bla-antagonist-p1],-0.451,0.039,-0.531,-0.385
beta_31[tox21-ppard-bla-antagonist-p1],-0.442,0.041,-0.524,-0.369
beta_31[tox21-er-luc-bg1-4e2-antagonist-p1],-0.459,0.042,-0.559,-0.401
beta_32[tox21-elg1-luc-agonist-p1],-0.384,0.061,-0.499,-0.265
beta_32[tox21-ar-bla-antagonist-p1],-0.405,0.063,-0.544,-0.293
beta_32[tox21-rt-viability-hek293-p1],-0.375,0.064,-0.474,-0.228
beta_32[tox21-shh-3t3-gli3-agonist-p1],-0.409,0.065,-0.535,-0.286
beta_32[tox21-ppard-bla-agonist-p1],-0.391,0.06,-0.506,-0.261
beta_32[tox21-ar-mda-kb2-luc-agonist-p3],-0.395,0.063,-0.513,-0.266
beta_32[tox21-er-bla-antagonist-p1],-0.385,0.063,-0.502,-0.263
beta_32[tox21-p53-bla-p1],-0.398,0.061,-0.502,-0.261
beta_32[tox21-car-agonist-p1],-0.384,0.061,-0.504,-0.264
beta_32[tox21-erb-bla-antagonist-p1],-0.368,0.066,-0.474,-0.223
beta_32[tox21-ar-mda-kb2-luc-antagonist-p1],-0.373,0.065,-0.479,-0.234
beta_32[tox21-pparg-bla-antagonist-p1],-0.38,0.06,-0.49,-0.264
beta_32[tox21-ap1-agonist-p1],-0.416,0.067,-0.554,-0.296
beta_32[tox21-hre-bla-agonist-p1],-0.375,0.062,-0.479,-0.237
beta_32[tox21-pgc-err-p1],-0.406,0.062,-0.521,-0.275
beta_32[tox21-nfkb-bla-agonist-p1],-0.391,0.061,-0.509,-0.272
beta_32[tox21-pr-bla-agonist-p1],-0.385,0.06,-0.497,-0.268
beta_32[tox21-ar-mda-kb2-luc-antagonist-p2],-0.385,0.061,-0.498,-0.258
beta_32[tox21-fxr-bla-agonist-p2],-0.38,0.062,-0.49,-0.253
beta_32[tox21-mitotox-p1],-0.371,0.064,-0.482,-0.237
beta_32[tox21-ror-cho-antagonist-p1],-0.38,0.06,-0.489,-0.256
beta_32[tox21-gh3-tre-antagonist-p1],-0.361,0.069,-0.477,-0.219
beta_32[tox21-vdr-bla-agonist-p1],-0.378,0.062,-0.474,-0.232
beta_32[tox21-sbe-bla-antagonist-p1],-0.418,0.069,-0.564,-0.293
beta_32[tox21-aromatase-p1],-0.415,0.063,-0.542,-0.298
beta_32[tox21-h2ax-cho-p2],-0.357,0.072,-0.453,-0.193
beta_32[tox21-erb-bla-p1],-0.367,0.069,-0.486,-0.225
beta_32[tox21-shh-3t3-gli3-antagonist-p1],-0.382,0.061,-0.481,-0.244
beta_32[tox21-rxr-bla-agonist-p1],-0.383,0.06,-0.492,-0.26
beta_32[tox21-pr-bla-antagonist-p1],-0.379,0.065,-0.495,-0.242
beta_32[tox21-ahr-p1],-0.37,0.064,-0.473,-0.234
beta_32[tox21-rt-viability-hepg2-p1],-0.388,0.059,-0.49,-0.256
beta_32[tox21-er-luc-bg1-4e2-antagonist-p2],-0.378,0.062,-0.493,-0.249
beta_32[tox21-esre-bla-p1],-0.409,0.064,-0.546,-0.291
beta_32[tox21-err-p1],-0.382,0.063,-0.502,-0.253
beta_32[tox21-hse-bla-p1],-0.395,0.066,-0.511,-0.255
beta_32[tox21-vdr-bla-antagonist-p1],-0.403,0.062,-0.523,-0.287
beta_32[tox21-sbe-bla-agonist-p1],-0.406,0.062,-0.534,-0.288
beta_32[tox21-fxr-bla-antagonist-p1],-0.4,0.066,-0.533,-0.273
beta_32[tox21-hdac-p1],-0.391,0.064,-0.512,-0.261
beta_32[tox21-er-luc-bg1-4e2-agonist-p4],-0.383,0.06,-0.49,-0.26
beta_32[tox21-car-antagonist-p1],-0.408,0.064,-0.551,-0.291
beta_32[tox21-are-bla-p1],-0.386,0.06,-0.501,-0.271
beta_32[tox21-dt40-p1_657],-0.416,0.064,-0.555,-0.299
beta_32[tox21-rar-antagonist-p2],-0.389,0.062,-0.503,-0.268
beta_32[tox21-dt40-p1_100],-0.414,0.064,-0.539,-0.297
beta_32[tox21-dt40-p1_653],-0.403,0.057,-0.519,-0.295
beta_32[tox21-gr-hela-bla-antagonist-p1],-0.398,0.06,-0.515,-0.279
beta_32[tox21-ppard-bla-antagonist-p1],-0.407,0.061,-0.524,-0.284
beta_32[tox21-er-luc-bg1-4e2-antagonist-p1],-0.386,0.059,-0.493,-0.267
beta_33[tox21-elg1-luc-agonist-p1],0.663,0.062,0.547,0.782
beta_33[tox21-ar-bla-antagonist-p1],0.649,0.068,0.522,0.774
beta_33[tox21-rt-viability-hek293-p1],0.652,0.068,0.519,0.775
beta_33[tox21-shh-3t3-gli3-agonist-p1],0.668,0.067,0.545,0.786
beta_33[tox21-ppard-bla-agonist-p1],0.65,0.064,0.532,0.769
beta_33[tox21-ar-mda-kb2-luc-agonist-p3],0.659,0.065,0.532,0.769
beta_33[tox21-er-bla-antagonist-p1],0.649,0.068,0.528,0.776
beta_33[tox21-p53-bla-p1],0.637,0.069,0.517,0.759
beta_33[tox21-car-agonist-p1],0.657,0.073,0.523,0.788
beta_33[tox21-erb-bla-antagonist-p1],0.639,0.069,0.527,0.772
beta_33[tox21-ar-mda-kb2-luc-antagonist-p1],0.644,0.069,0.521,0.785
beta_33[tox21-pparg-bla-antagonist-p1],0.652,0.067,0.533,0.784
beta_33[tox21-ap1-agonist-p1],0.648,0.07,0.518,0.764
beta_33[tox21-hre-bla-agonist-p1],0.654,0.069,0.533,0.78
beta_33[tox21-pgc-err-p1],0.672,0.071,0.54,0.796
beta_33[tox21-nfkb-bla-agonist-p1],0.655,0.068,0.523,0.776
beta_33[tox21-pr-bla-agonist-p1],0.655,0.068,0.524,0.78
beta_33[tox21-ar-mda-kb2-luc-antagonist-p2],0.654,0.069,0.537,0.787
beta_33[tox21-fxr-bla-agonist-p2],0.658,0.072,0.525,0.786
beta_33[tox21-mitotox-p1],0.65,0.066,0.538,0.777
beta_33[tox21-ror-cho-antagonist-p1],0.649,0.066,0.527,0.771
beta_33[tox21-gh3-tre-antagonist-p1],0.654,0.067,0.532,0.786
beta_33[tox21-vdr-bla-agonist-p1],0.652,0.069,0.522,0.771
beta_33[tox21-sbe-bla-antagonist-p1],0.653,0.067,0.532,0.776
beta_33[tox21-aromatase-p1],0.668,0.063,0.542,0.782
beta_33[tox21-h2ax-cho-p2],0.647,0.067,0.526,0.774
beta_33[tox21-erb-bla-p1],0.65,0.07,0.509,0.778
beta_33[tox21-shh-3t3-gli3-antagonist-p1],0.656,0.065,0.545,0.786
beta_33[tox21-rxr-bla-agonist-p1],0.654,0.07,0.521,0.78
beta_33[tox21-pr-bla-antagonist-p1],0.645,0.072,0.518,0.784
beta_33[tox21-ahr-p1],0.66,0.07,0.524,0.769
beta_33[tox21-rt-viability-hepg2-p1],0.648,0.068,0.529,0.788
beta_33[tox21-er-luc-bg1-4e2-antagonist-p2],0.664,0.065,0.544,0.789
beta_33[tox21-esre-bla-p1],0.641,0.075,0.494,0.768
beta_33[tox21-err-p1],0.662,0.066,0.537,0.787
beta_33[tox21-hse-bla-p1],0.65,0.066,0.523,0.771
beta_33[tox21-vdr-bla-antagonist-p1],0.654,0.069,0.532,0.784
beta_33[tox21-sbe-bla-agonist-p1],0.665,0.068,0.532,0.793
beta_33[tox21-fxr-bla-antagonist-p1],0.653,0.068,0.528,0.775
beta_33[tox21-hdac-p1],0.643,0.073,0.506,0.78
beta_33[tox21-er-luc-bg1-4e2-agonist-p4],0.661,0.071,0.536,0.796
beta_33[tox21-car-antagonist-p1],0.659,0.072,0.523,0.787
beta_33[tox21-are-bla-p1],0.661,0.067,0.536,0.792
beta_33[tox21-dt40-p1_657],0.646,0.07,0.514,0.771
beta_33[tox21-rar-antagonist-p2],0.65,0.067,0.522,0.772
beta_33[tox21-dt40-p1_100],0.653,0.07,0.533,0.783
beta_33[tox21-dt40-p1_653],0.66,0.072,0.524,0.778
beta_33[tox21-gr-hela-bla-antagonist-p1],0.639,0.072,0.519,0.774
beta_33[tox21-ppard-bla-antagonist-p1],0.655,0.065,0.528,0.773
beta_33[tox21-er-luc-bg1-4e2-antagonist-p1],0.66,0.065,0.54,0.78
beta_34[tox21-elg1-luc-agonist-p1],-0.917,0.124,-1.133,-0.702
beta_34[tox21-ar-bla-antagonist-p1],-0.917,0.126,-1.146,-0.715
beta_34[tox21-rt-viability-hek293-p1],-0.911,0.126,-1.122,-0.704
beta_34[tox21-shh-3t3-gli3-agonist-p1],-0.926,0.125,-1.141,-0.707
beta_34[tox21-ppard-bla-agonist-p1],-0.924,0.125,-1.15,-0.721
beta_34[tox21-ar-mda-kb2-luc-agonist-p3],-0.912,0.123,-1.124,-0.705
beta_34[tox21-er-bla-antagonist-p1],-0.916,0.124,-1.14,-0.712
beta_34[tox21-p53-bla-p1],-0.913,0.124,-1.129,-0.696
beta_34[tox21-car-agonist-p1],-0.911,0.122,-1.115,-0.709
beta_34[tox21-erb-bla-antagonist-p1],-0.923,0.123,-1.142,-0.72
beta_34[tox21-ar-mda-kb2-luc-antagonist-p1],-0.913,0.118,-1.121,-0.713
beta_34[tox21-pparg-bla-antagonist-p1],-0.922,0.12,-1.12,-0.71
beta_34[tox21-ap1-agonist-p1],-0.931,0.121,-1.134,-0.72
beta_34[tox21-hre-bla-agonist-p1],-0.914,0.119,-1.122,-0.716
beta_34[tox21-pgc-err-p1],-0.914,0.127,-1.146,-0.708
beta_34[tox21-nfkb-bla-agonist-p1],-0.927,0.121,-1.129,-0.72
beta_34[tox21-pr-bla-agonist-p1],-0.915,0.123,-1.128,-0.707
beta_34[tox21-ar-mda-kb2-luc-antagonist-p2],-0.904,0.125,-1.101,-0.68
beta_34[tox21-fxr-bla-agonist-p2],-0.923,0.126,-1.163,-0.721
beta_34[tox21-mitotox-p1],-0.926,0.119,-1.123,-0.717
beta_34[tox21-ror-cho-antagonist-p1],-0.916,0.118,-1.111,-0.716
beta_34[tox21-gh3-tre-antagonist-p1],-0.923,0.119,-1.114,-0.718
beta_34[tox21-vdr-bla-agonist-p1],-0.912,0.123,-1.11,-0.701
beta_34[tox21-sbe-bla-antagonist-p1],-0.922,0.126,-1.15,-0.717
beta_34[tox21-aromatase-p1],-0.917,0.122,-1.113,-0.696
beta_34[tox21-h2ax-cho-p2],-0.922,0.115,-1.1,-0.713
beta_34[tox21-erb-bla-p1],-0.921,0.125,-1.158,-0.711
beta_34[tox21-shh-3t3-gli3-antagonist-p1],-0.919,0.127,-1.157,-0.717
beta_34[tox21-rxr-bla-agonist-p1],-0.922,0.117,-1.114,-0.718
beta_34[tox21-pr-bla-antagonist-p1],-0.925,0.127,-1.146,-0.706
beta_34[tox21-ahr-p1],-0.919,0.121,-1.129,-0.727
beta_34[tox21-rt-viability-hepg2-p1],-0.916,0.122,-1.123,-0.714
beta_34[tox21-er-luc-bg1-4e2-antagonist-p2],-0.919,0.121,-1.119,-0.712
beta_34[tox21-esre-bla-p1],-0.924,0.125,-1.135,-0.703
beta_34[tox21-err-p1],-0.924,0.121,-1.139,-0.719
beta_34[tox21-hse-bla-p1],-0.92,0.117,-1.116,-0.718
beta_34[tox21-vdr-bla-antagonist-p1],-0.914,0.121,-1.116,-0.708
beta_34[tox21-sbe-bla-agonist-p1],-0.92,0.124,-1.144,-0.707
beta_34[tox21-fxr-bla-antagonist-p1],-0.915,0.121,-1.118,-0.706
beta_34[tox21-hdac-p1],-0.926,0.122,-1.149,-0.71
beta_34[tox21-er-luc-bg1-4e2-agonist-p4],-0.912,0.127,-1.134,-0.695
beta_34[tox21-car-antagonist-p1],-0.912,0.123,-1.127,-0.708
beta_34[tox21-are-bla-p1],-0.908,0.119,-1.096,-0.689
beta_34[tox21-dt40-p1_657],-0.922,0.115,-1.112,-0.721
beta_34[tox21-rar-antagonist-p2],-0.924,0.124,-1.14,-0.716
beta_34[tox21-dt40-p1_100],-0.925,0.122,-1.141,-0.719
beta_34[tox21-dt40-p1_653],-0.911,0.12,-1.105,-0.699
beta_34[tox21-gr-hela-bla-antagonist-p1],-0.919,0.117,-1.103,-0.698
beta_34[tox21-ppard-bla-antagonist-p1],-0.925,0.121,-1.13,-0.713
beta_34[tox21-er-luc-bg1-4e2-antagonist-p1],-0.921,0.122,-1.113,-0.688
beta_35[tox21-elg1-luc-agonist-p1],-0.067,0.054,-0.161,0.049
beta_35[tox21-ar-bla-antagonist-p1],-0.062,0.056,-0.167,0.04
beta_35[tox21-rt-viability-hek293-p1],-0.084,0.059,-0.208,0.023
beta_35[tox21-shh-3t3-gli3-agonist-p1],-0.054,0.052,-0.155,0.047
beta_35[tox21-ppard-bla-agonist-p1],-0.097,0.065,-0.234,0.012
beta_35[tox21-ar-mda-kb2-luc-agonist-p3],-0.101,0.062,-0.217,0.005
beta_35[tox21-er-bla-antagonist-p1],-0.084,0.067,-0.235,0.027
beta_35[tox21-p53-bla-p1],-0.084,0.053,-0.179,0.019
beta_35[tox21-car-agonist-p1],-0.074,0.058,-0.184,0.038
beta_35[tox21-erb-bla-antagonist-p1],-0.051,0.052,-0.139,0.057
beta_35[tox21-ar-mda-kb2-luc-antagonist-p1],-0.091,0.056,-0.204,-0.005
beta_35[tox21-pparg-bla-antagonist-p1],-0.038,0.059,-0.146,0.073
beta_35[tox21-ap1-agonist-p1],-0.062,0.058,-0.173,0.044
beta_35[tox21-hre-bla-agonist-p1],-0.07,0.052,-0.161,0.031
beta_35[tox21-pgc-err-p1],-0.105,0.065,-0.245,0.002
beta_35[tox21-nfkb-bla-agonist-p1],-0.077,0.06,-0.212,0.024
beta_35[tox21-pr-bla-agonist-p1],-0.069,0.056,-0.179,0.043
beta_35[tox21-ar-mda-kb2-luc-antagonist-p2],-0.082,0.062,-0.206,0.041
beta_35[tox21-fxr-bla-agonist-p2],-0.089,0.061,-0.219,0.01
beta_35[tox21-mitotox-p1],-0.086,0.052,-0.191,0.004
beta_35[tox21-ror-cho-antagonist-p1],-0.055,0.052,-0.147,0.045
beta_35[tox21-gh3-tre-antagonist-p1],-0.087,0.067,-0.247,0.019
beta_35[tox21-vdr-bla-agonist-p1],-0.07,0.055,-0.17,0.042
beta_35[tox21-sbe-bla-antagonist-p1],-0.067,0.052,-0.165,0.032
beta_35[tox21-aromatase-p1],-0.064,0.051,-0.166,0.016
beta_35[tox21-h2ax-cho-p2],-0.041,0.057,-0.143,0.077
beta_35[tox21-erb-bla-p1],-0.064,0.053,-0.169,0.033
beta_35[tox21-shh-3t3-gli3-antagonist-p1],-0.082,0.057,-0.198,0.019
beta_35[tox21-rxr-bla-agonist-p1],-0.041,0.06,-0.161,0.063
beta_35[tox21-pr-bla-antagonist-p1],-0.063,0.056,-0.174,0.036
beta_35[tox21-ahr-p1],-0.092,0.056,-0.204,0.003
beta_35[tox21-rt-viability-hepg2-p1],-0.088,0.07,-0.242,0.029
beta_35[tox21-er-luc-bg1-4e2-antagonist-p2],-0.086,0.056,-0.192,0.011
beta_35[tox21-esre-bla-p1],-0.082,0.058,-0.202,0.017
beta_35[tox21-err-p1],-0.077,0.055,-0.186,0.025
beta_35[tox21-hse-bla-p1],-0.067,0.055,-0.165,0.041
beta_35[tox21-vdr-bla-antagonist-p1],-0.069,0.051,-0.172,0.023
beta_35[tox21-sbe-bla-agonist-p1],-0.067,0.05,-0.157,0.032
beta_35[tox21-fxr-bla-antagonist-p1],-0.064,0.063,-0.174,0.065
beta_35[tox21-hdac-p1],-0.057,0.063,-0.197,0.051
beta_35[tox21-er-luc-bg1-4e2-agonist-p4],-0.061,0.053,-0.176,0.035
beta_35[tox21-car-antagonist-p1],-0.072,0.051,-0.164,0.022
beta_35[tox21-are-bla-p1],-0.049,0.052,-0.147,0.049
beta_35[tox21-dt40-p1_657],-0.056,0.053,-0.148,0.047
beta_35[tox21-rar-antagonist-p2],-0.053,0.055,-0.151,0.061
beta_35[tox21-dt40-p1_100],-0.037,0.059,-0.145,0.082
beta_35[tox21-dt40-p1_653],-0.052,0.052,-0.148,0.05
beta_35[tox21-gr-hela-bla-antagonist-p1],-0.071,0.054,-0.164,0.031
beta_35[tox21-ppard-bla-antagonist-p1],-0.057,0.053,-0.158,0.049
beta_35[tox21-er-luc-bg1-4e2-antagonist-p1],-0.081,0.056,-0.199,0.029
beta_36[tox21-elg1-luc-agonist-p1],-0.355,0.043,-0.45,-0.282
beta_36[tox21-ar-bla-antagonist-p1],-0.329,0.045,-0.41,-0.23
beta_36[tox21-rt-viability-hek293-p1],-0.312,0.06,-0.392,-0.175
beta_36[tox21-shh-3t3-gli3-agonist-p1],-0.355,0.045,-0.455,-0.28
beta_36[tox21-ppard-bla-agonist-p1],-0.338,0.04,-0.413,-0.252
beta_36[tox21-ar-mda-kb2-luc-agonist-p3],-0.352,0.045,-0.443,-0.263
beta_36[tox21-er-bla-antagonist-p1],-0.316,0.055,-0.401,-0.2
beta_36[tox21-p53-bla-p1],-0.332,0.042,-0.411,-0.242
beta_36[tox21-car-agonist-p1],-0.343,0.039,-0.425,-0.264
beta_36[tox21-erb-bla-antagonist-p1],-0.332,0.045,-0.41,-0.236
beta_36[tox21-ar-mda-kb2-luc-antagonist-p1],-0.35,0.042,-0.434,-0.265
beta_36[tox21-pparg-bla-antagonist-p1],-0.355,0.046,-0.449,-0.268
beta_36[tox21-ap1-agonist-p1],-0.345,0.043,-0.434,-0.253
beta_36[tox21-hre-bla-agonist-p1],-0.357,0.046,-0.458,-0.277
beta_36[tox21-pgc-err-p1],-0.334,0.044,-0.415,-0.238
beta_36[tox21-nfkb-bla-agonist-p1],-0.347,0.042,-0.43,-0.26
beta_36[tox21-pr-bla-agonist-p1],-0.342,0.043,-0.429,-0.247
beta_36[tox21-ar-mda-kb2-luc-antagonist-p2],-0.351,0.043,-0.441,-0.269
beta_36[tox21-fxr-bla-agonist-p2],-0.348,0.042,-0.441,-0.272
beta_36[tox21-mitotox-p1],-0.351,0.044,-0.446,-0.268
beta_36[tox21-ror-cho-antagonist-p1],-0.34,0.041,-0.417,-0.245
beta_36[tox21-gh3-tre-antagonist-p1],-0.354,0.042,-0.455,-0.284
beta_36[tox21-vdr-bla-agonist-p1],-0.341,0.042,-0.42,-0.249
beta_36[tox21-sbe-bla-antagonist-p1],-0.325,0.049,-0.415,-0.225
beta_36[tox21-aromatase-p1],-0.367,0.052,-0.484,-0.287
beta_36[tox21-h2ax-cho-p2],-0.328,0.046,-0.416,-0.239
beta_36[tox21-erb-bla-p1],-0.35,0.041,-0.445,-0.278
beta_36[tox21-shh-3t3-gli3-antagonist-p1],-0.332,0.046,-0.419,-0.239
beta_36[tox21-rxr-bla-agonist-p1],-0.366,0.054,-0.489,-0.288
beta_36[tox21-pr-bla-antagonist-p1],-0.329,0.045,-0.403,-0.227
beta_36[tox21-ahr-p1],-0.366,0.052,-0.482,-0.28
beta_36[tox21-rt-viability-hepg2-p1],-0.349,0.042,-0.434,-0.272
beta_36[tox21-er-luc-bg1-4e2-antagonist-p2],-0.361,0.048,-0.469,-0.282
beta_36[tox21-esre-bla-p1],-0.334,0.046,-0.421,-0.236
beta_36[tox21-err-p1],-0.358,0.047,-0.459,-0.276
beta_36[tox21-hse-bla-p1],-0.373,0.061,-0.503,-0.285
beta_36[tox21-vdr-bla-antagonist-p1],-0.338,0.04,-0.419,-0.252
beta_36[tox21-sbe-bla-agonist-p1],-0.35,0.044,-0.439,-0.258
beta_36[tox21-fxr-bla-antagonist-p1],-0.33,0.045,-0.413,-0.235
beta_36[tox21-hdac-p1],-0.352,0.046,-0.455,-0.27
beta_36[tox21-er-luc-bg1-4e2-agonist-p4],-0.337,0.043,-0.429,-0.248
beta_36[tox21-car-antagonist-p1],-0.332,0.043,-0.406,-0.235
beta_36[tox21-are-bla-p1],-0.344,0.041,-0.422,-0.261
beta_36[tox21-dt40-p1_657],-0.34,0.04,-0.41,-0.246
beta_36[tox21-rar-antagonist-p2],-0.356,0.048,-0.474,-0.283
beta_36[tox21-dt40-p1_100],-0.336,0.038,-0.416,-0.258
beta_36[tox21-dt40-p1_653],-0.339,0.039,-0.414,-0.255
beta_36[tox21-gr-hela-bla-antagonist-p1],-0.339,0.041,-0.422,-0.255
beta_36[tox21-ppard-bla-antagonist-p1],-0.341,0.042,-0.424,-0.258
beta_36[tox21-er-luc-bg1-4e2-antagonist-p1],-0.352,0.043,-0.444,-0.273
beta_37[tox21-elg1-luc-agonist-p1],-0.84,0.061,-0.98,-0.731
beta_37[tox21-ar-bla-antagonist-p1],-0.837,0.058,-0.952,-0.725
beta_37[tox21-rt-viability-hek293-p1],-0.824,0.056,-0.932,-0.712
beta_37[tox21-shh-3t3-gli3-agonist-p1],-0.847,0.063,-0.995,-0.754
beta_37[tox21-ppard-bla-agonist-p1],-0.851,0.066,-0.989,-0.73
beta_37[tox21-ar-mda-kb2-luc-agonist-p3],-0.836,0.059,-0.956,-0.732
beta_37[tox21-er-bla-antagonist-p1],-0.843,0.06,-0.976,-0.742
beta_37[tox21-p53-bla-p1],-0.833,0.059,-0.949,-0.723
beta_37[tox21-car-agonist-p1],-0.855,0.065,-0.972,-0.729
beta_37[tox21-erb-bla-antagonist-p1],-0.848,0.063,-0.98,-0.741
beta_37[tox21-ar-mda-kb2-luc-antagonist-p1],-0.843,0.062,-0.968,-0.74
beta_37[tox21-pparg-bla-antagonist-p1],-0.823,0.06,-0.947,-0.711
beta_37[tox21-ap1-agonist-p1],-0.856,0.069,-1.009,-0.747
beta_37[tox21-hre-bla-agonist-p1],-0.823,0.061,-0.951,-0.712
beta_37[tox21-pgc-err-p1],-0.848,0.067,-0.98,-0.731
beta_37[tox21-nfkb-bla-agonist-p1],-0.849,0.066,-0.978,-0.733
beta_37[tox21-pr-bla-agonist-p1],-0.846,0.065,-0.977,-0.737
beta_37[tox21-ar-mda-kb2-luc-antagonist-p2],-0.848,0.065,-0.978,-0.737
beta_37[tox21-fxr-bla-agonist-p2],-0.834,0.057,-0.954,-0.732
beta_37[tox21-mitotox-p1],-0.827,0.064,-0.95,-0.703
beta_37[tox21-ror-cho-antagonist-p1],-0.833,0.064,-0.954,-0.699
beta_37[tox21-gh3-tre-antagonist-p1],-0.84,0.058,-0.954,-0.736
beta_37[tox21-vdr-bla-agonist-p1],-0.843,0.06,-0.959,-0.728
beta_37[tox21-sbe-bla-antagonist-p1],-0.843,0.062,-0.965,-0.733
beta_37[tox21-aromatase-p1],-0.828,0.061,-0.94,-0.719
beta_37[tox21-h2ax-cho-p2],-0.862,0.075,-0.998,-0.731
beta_37[tox21-erb-bla-p1],-0.814,0.062,-0.922,-0.689
beta_37[tox21-shh-3t3-gli3-antagonist-p1],-0.837,0.058,-0.951,-0.73
beta_37[tox21-rxr-bla-agonist-p1],-0.842,0.063,-0.976,-0.739
beta_37[tox21-pr-bla-antagonist-p1],-0.842,0.063,-0.975,-0.732
beta_37[tox21-ahr-p1],-0.846,0.061,-0.967,-0.733
beta_37[tox21-rt-viability-hepg2-p1],-0.816,0.064,-0.957,-0.703
beta_37[tox21-er-luc-bg1-4e2-antagonist-p2],-0.835,0.058,-0.956,-0.737
beta_37[tox21-esre-bla-p1],-0.843,0.063,-0.967,-0.724
beta_37[tox21-err-p1],-0.841,0.06,-0.96,-0.724
beta_37[tox21-hse-bla-p1],-0.809,0.064,-0.94,-0.684
beta_37[tox21-vdr-bla-antagonist-p1],-0.839,0.064,-0.97,-0.727
beta_37[tox21-sbe-bla-agonist-p1],-0.856,0.07,-1.006,-0.744
beta_37[tox21-fxr-bla-antagonist-p1],-0.848,0.072,-1.012,-0.731
beta_37[tox21-hdac-p1],-0.844,0.062,-0.966,-0.732
beta_37[tox21-er-luc-bg1-4e2-agonist-p4],-0.848,0.065,-0.977,-0.737
beta_37[tox21-car-antagonist-p1],-0.858,0.072,-1.032,-0.76
beta_37[tox21-are-bla-p1],-0.845,0.063,-0.974,-0.727
beta_37[tox21-dt40-p1_657],-0.814,0.062,-0.946,-0.687
beta_37[tox21-rar-antagonist-p2],-0.838,0.058,-0.95,-0.731
beta_37[tox21-dt40-p1_100],-0.814,0.063,-0.924,-0.678
beta_37[tox21-dt40-p1_653],-0.818,0.058,-0.92,-0.696
beta_37[tox21-gr-hela-bla-antagonist-p1],-0.826,0.057,-0.939,-0.717
